write	221.0
fran	4.0
inn	180.0
blackjack	9.0
accomodated	44.0
remember	375.0
cbd	2.0
seperate	67.0
tea/coffee	89.0
espana	1.0
mere	29.0
stretch	75.0
cents	33.0
melia	52.0
dive	83.0
ball	87.0
bistros	3.0
cups	100.0
bali	76.0
inclusive	199.0
car	1666.0
cap	48.0
code	37.0
rudest	9.0
knocking	51.0
cab	775.0
breath	61.0
freeways	6.0
sants	0.0
bingo	16.0
pools	1072.0
swimmers	11.0
i-drive	3.0
facilities	890.0
ranges	9.0
upgrading	57.0
wallpaper	194.0
skip	101.0
santa	16.0
skin	24.0
edge	77.0
sultanahmet	0.0
address	108.0
coffee	1749.0
ile	0.0
adjoining	103.0
walls	506.0
craps	3.0
basin	54.0
checked	1645.0
worked	662.0
daniel	51.0
volleyball	35.0
functional	131.0
basic	697.0
problems	1028.0
laying	43.0
cooperative	12.0
4-star	85.0
powder	28.0
comparing	27.0
docking	12.0
hollywood	29.0
tracks	33.0
tepid	9.0
republic	69.0
walks	105.0
superdome	0.0
coat	25.0
competitive	31.0
entire	716.0
dish	77.0
provider	32.0
woman	214.0
trickle	11.0
washroom	39.0
flooded	53.0
impressive	277.0
reviews	2672.0
frame	22.0
nugget	0.0
renfe	0.0
partially	21.0
feather	30.0
partying	31.0
puerto	26.0
south	405.0
separated	34.0
medium	60.0
apartments	37.0
provided	699.0
boarding	132.0
menu	453.0
dirt	101.0
caring	35.0
broken	345.0
commute	9.0
puerta	3.0
bakery	11.0
joke	178.0
madrid	14.0
recommending	59.0
bahn	0.0
duvets	32.0
westwood	3.0
mistake	242.0
granville	0.0
eaters	16.0
doors	596.0
winter	90.0
reservation	751.0
trucks	29.0
barberini	0.0
waitress	110.0
magnifying	16.0
program	77.0
bags	711.0
spoken	29.0
pleased	527.0
young	373.0
upholstered	9.0
shells	11.0
surprise	365.0
vaparetto	0.0
tight	134.0
repeated	35.0
pubs	52.0
concorde	0.0
trips	251.0
roulette	8.0
punta	266.0
thermostat	96.0
conditioner	176.0
suites	162.0
join	54.0
cloudy	33.0
van	30.0
conditioned	47.0
attending	209.0
opera	10.0
definatley	21.0
wardrobes	8.0
bedroom	1036.0
delis	42.0
mid-town	42.0
booked	2997.0
based	363.0
fluent	21.0
checking	719.0
escape	83.0
arrived	1990.0
atocha	0.0
smokey	8.0
unheated	8.0
cirque	8.0
smoker	26.0
layout	108.0
sunbathing	20.0
shabby	157.0
outskirts	7.0
gaudi	23.0
accomodation	68.0
buses	341.0
souvenirs	37.0
commode	2.0
crammed	34.0
standing	126.0
vancouver	3.0
usual	224.0
wouldnt	99.0
condition	244.0
dine	68.0
garden	345.0
bryant	18.0
field	22.0
built-in	7.0
sunny	80.0
parallel	4.0
george	8.0
downstairs	350.0
wall-mounted	5.0
inflated	11.0
accomodating	239.0
makeup	39.0
leaky	7.0
dubai	6.0
partial	92.0
language	183.0
metros	3.0
dime	76.0
disgusting	155.0
garnier	0.0
highest	47.0
opens	99.0
daughter	555.0
canapes	0.0
sound	332.0
ping-pong	12.0
leisurely	29.0
baby	156.0
night	7308.0
clubs	132.0
technology	5.0
washer/dryer	52.0
info	127.0
sincere	17.0
attic	2.0
pricey	520.0
journey	70.0
decided	825.0
prices	843.0
walkways	27.0
holiday	544.0
weird	91.0
soundly	11.0
relations	46.0
arrival	904.0
belongings	51.0
l'est	0.0
pleasantly	348.0
maillot	0.0
speaks	33.0
bourbon	3.0
priced	556.0
arrogant	19.0
ice	560.0
highways	5.0
flushing	30.0
buy	434.0
checkout	251.0
noticed	400.0
bus	1410.0
ready	935.0
cheeses	37.0
cheapest	70.0
appreciated	265.0
extremely	1277.0
boardwalk	132.0
fittings	23.0
advance	268.0
bug	99.0
apple	169.0
ultra	25.0
istiklal	0.0
