b9WZJp5L1RZr4F1nxclOoQ	4.531	4.531	4.531	4.531	4.531		4.642	1.357	1.407	1.292		0.966	0.008	0.012	0.014
eznh0XjVtv924K-KYx_ilQ	2.946	2.946	2.946	2.946	2.946		4.407	1.362	1.396	1.291		0.524	0.080	0.163	0.233
3gmBc0qN_LtGbZAjTtHWZg	3.250	3.250	3.250	3.250	3.250		4.271	1.357	1.397	1.296		0.651	0.068	0.124	0.157
tU-YtoW339PXJmUGSix_AQ	2.571	2.571	2.571	2.571	2.571		4.404	1.374	1.396	1.303		0.401	0.091	0.196	0.312
mVHrayjG3uZ_RLHkLj-AMg	4.706	4.706	4.706	4.706	4.706		4.761	1.370	1.396	1.296		0.984	0.004	0.006	0.006
oPX8bpZ3dqviYQuic0Ahqw	4.333	4.333	4.333	4.333	4.333		4.812	1.376	1.408	1.301		0.861	0.030	0.049	0.059
ZL6DNzyenFm9Kpz6uADlNg	3.130	3.130	3.130	3.130	3.130		4.424	1.365	1.393	1.292		0.580	0.078	0.149	0.193
_qopVQ6_Mz6W7-Pmbi56GQ	3.000	3.000	3.000	3.000	3.000		4.432	1.362	1.400	1.269		0.539	0.075	0.154	0.232
DMy5IG-dNrH4ARk96KngEA	2.714	2.714	2.714	2.714	2.714		4.401	1.364	1.392	1.285		0.450	0.083	0.177	0.289
KayYbHCt-RkbGcPdGOThNg	3.933	3.933	3.933	3.933	3.933		4.593	1.365	1.406	1.290		0.797	0.040	0.070	0.093
usSROUMiAgPcxV3Ym0OxMQ	3.410	3.410	3.410	3.410	3.410		4.427	1.364	1.394	1.291		0.671	0.061	0.115	0.153
woOVJ0Z2f6XNCDntHA3b_g	4.857	4.857	4.857	4.857	4.857		4.994	1.357	1.402	1.289		0.963	0.009	0.013	0.015
Ts4xsKPU7FNPPZRj-nRjIg	2.900	2.900	2.900	2.900	2.900		4.416	1.366	1.390	1.293		0.507	0.085	0.172	0.236
qfL7ZFkxqDZOPIaVVfT3Aw	3.000	3.000	3.000	3.000	3.000		4.342	1.363	1.385	1.298		0.553	0.077	0.154	0.216
eT5Ck7Gg1dBJobca9VFovw	3.577	3.577	3.577	3.577	3.577		4.337	1.366	1.385	1.295		0.746	0.049	0.089	0.115
JDDeaNfb0JXD1NbznSIC9g	3.061	3.061	3.061	3.061	3.061		4.431	1.362	1.391	1.291		0.557	0.073	0.148	0.222
0hrB2iwQZ52VZcZWYywXrA	4.273	4.273	4.273	4.273	4.273		4.510	1.369	1.411	1.281		0.925	0.017	0.027	0.032
McikHxxEqZ2X0joaRNKlaw	3.327	3.327	3.327	3.327	3.327		4.441	1.365	1.395	1.291		0.641	0.069	0.128	0.162
_tV_uvbF3JFgsYRtoRWM-Q	2.600	2.600	2.600	2.600	2.600		4.377	1.366	1.399	1.303		0.414	0.093	0.199	0.294
sbW8qHJgzEIH42B0S-3New	2.761	2.761	2.761	2.761	2.761		4.448	1.365	1.395	1.288		0.458	0.082	0.176	0.284
83_p9vIqOq1TUIf3_GD7bA	4.224	4.224	4.224	4.224	4.224		4.529	1.364	1.394	1.293		0.904	0.020	0.033	0.042
6ilJq_05xRgek_8qUp36-g	1.921	1.921	1.921	1.921	1.921		4.403	1.357	1.386	1.276		0.195	0.100	0.241	0.464
FiXamVMgMf9U0VqFHDZSEA	3.167	3.167	3.167	3.167	3.167		4.431	1.361	1.386	1.280		0.592	0.072	0.141	0.194
UtWJ8NGMg-3z28s0RzlUoQ	3.091	3.091	3.091	3.091	3.091		4.372	1.370	1.394	1.300		0.577	0.078	0.150	0.195
rdATJvFQK4C73NIQ3zoY3w	4.250	4.250	4.250	4.250	4.250		4.596	1.366	1.376	1.288		0.894	0.022	0.037	0.047
4ykgzzzGEWjMD5lwk1-l9A	4.625	4.625	4.625	4.625	4.625		4.492	1.363	1.370	1.291		1.000	0.000	0.000	0.000
F04xyOUA2xnUoCiWpx9iJA	3.000	3.000	3.000	3.000	3.000		4.349	1.379	1.412	1.294		0.550	0.082	0.160	0.208
FituZ4jYzRe41ac9uvcHaQ	4.333	4.333	4.333	4.333	4.333		4.489	1.366	1.393	1.271		0.951	0.011	0.017	0.021
b12U9TFESStdy7CsTtcOeg	2.167	2.167	2.167	2.167	2.167		4.392	1.378	1.396	1.288		0.273	0.093	0.209	0.424
HZdLhv6COCleJMo7nPl-RA	2.600	2.600	2.600	2.600	2.600		4.258	1.365	1.368	1.288		0.434	0.088	0.188	0.289
